id_conta,id_fornecedor,id_categoria,id_centro_custo,id_banco,numero_nf,data_emissao,data_vencimento,valor,status,observacoes,created_at,updated_at
1,186,11,11,2,NF00000001,2026-02-11,2026-04-02,300.89,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
2,495,11,12,9,NF00000002,2025-11-13,2025-12-04,1119.19,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
3,357,11,12,10,NF00000003,2024-12-01,2025-01-03,684.9,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
4,447,11,12,8,NF00000004,2025-12-13,2026-02-02,5097.48,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
5,350,11,12,6,NF00000005,2026-03-21,2026-04-02,787.14,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
6,403,6,11,2,NF00000006,2026-04-09,2026-06-01,338.07,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
7,214,8,8,9,NF00000007,2025-07-20,2025-09-18,6182.0,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
8,426,9,13,10,NF00000008,2026-04-25,2026-05-04,273.06,Vencida,Fornecedor notificou atraso.,2026-07-15 18:28:52,2026-07-15 18:28:52
9,208,17,1,4,NF00000009,2026-08-26,2026-09-08,88425.42,Pendente,Aguardando pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
10,431,11,12,5,NF00000010,2025-06-27,2025-07-17,7439.81,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
11,216,11,12,5,NF00000011,2026-08-07,2026-08-24,1285.61,Pendente,Programado para pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
12,133,8,8,4,NF00000012,2024-08-08,2024-09-28,990.57,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
13,391,8,8,4,NF00000013,2026-05-31,2026-07-29,16640.0,Pendente,Aguardando aprovação.,2026-07-15 18:28:52,2026-07-15 18:28:52
14,480,11,11,6,NF00000014,2024-10-21,2024-12-12,921.82,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
15,407,17,1,4,NF00000015,2026-07-28,2026-08-13,923.09,Pendente,Aguardando pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
16,390,11,12,3,NF00000016,2024-10-21,2024-11-24,2050.97,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
17,76,11,11,7,NF00000017,2025-02-13,2025-02-25,31066.54,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
18,445,11,11,2,NF00000018,2024-11-01,2024-11-12,712.43,Paga,Pagamento conciliado.,2026-07-15 18:28:52,2026-07-15 18:28:52
19,470,13,15,7,NF00000019,2024-12-19,2024-12-26,2005.66,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
20,243,11,11,2,NF00000020,2026-07-28,2026-08-25,2067.3,Pendente,Aguardando aprovação.,2026-07-15 18:28:52,2026-07-15 18:28:52
21,454,8,6,5,NF00000021,2025-09-10,2025-10-19,4815.26,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
22,58,10,15,9,NF00000022,2024-08-20,2024-09-28,9476.67,Vencida,Fornecedor notificou atraso.,2026-07-15 18:28:52,2026-07-15 18:28:52
23,493,8,6,4,NF00000023,2025-01-11,2025-01-18,13090.69,Paga,Quitação confirmada.,2026-07-15 18:28:52,2026-07-15 18:28:52
24,239,9,13,6,NF00000024,2025-08-13,2025-09-04,426.68,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
25,13,6,11,4,NF00000025,2025-01-04,2025-03-04,6284.8,Vencida,Pagamento em atraso.,2026-07-15 18:28:52,2026-07-15 18:28:52
26,416,8,8,9,NF00000026,2026-08-02,2026-08-19,527.75,Pendente,Aguardando pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
27,214,8,8,9,NF00000027,2024-11-14,2025-01-08,1847.19,Vencida,Fornecedor notificou atraso.,2026-07-15 18:28:52,2026-07-15 18:28:52
28,99,11,12,4,NF00000028,2026-07-03,2026-08-07,704.52,Pendente,Programado para pagamento.,2026-07-15 18:28:52,2026-07-15 18:28:52
29,420,11,11,8,NF00000029,2024-10-09,2024-11-20,404.28,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
30,314,10,15,10,NF00000030,2025-11-12,2025-11-23,667.99,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
31,436,6,11,6,NF00000031,2025-10-28,2025-12-08,702.08,Paga,Pagamento realizado com sucesso.,2026-07-15 18:28:52,2026-07-15 18:28:52
