id_pagamento,id_conta,id_forma_pagamento,id_banco,data_pagamento,valor_pago,juros,desconto,created_at,updated_at
1,1,1,2,2026-04-17,305.4,4.51,0.0,2026-07-15 18:28:59,2026-07-15 18:28:59
2,2,1,9,2025-12-07,1122.55,3.36,0.0,2026-07-15 18:28:59,2026-07-15 18:28:59
3,3,4,10,2025-01-02,684.56,0.0,0.34,2026-07-15 18:28:59,2026-07-15 18:28:59
4,4,1,8,2026-02-14,5158.65,61.17,0.0,2026-07-15 18:28:59,2026-07-15 18:28:59
5,5,1,6,2026-04-10,793.44,6.3,0.0,2026-07-15 18:28:59,2026-07-15 18:28:59
6,6,1,2,2026-05-29,337.56,0.0,0.51,2026-07-15 18:28:59,2026-07-15 18:28:59
7,7,2,9,2025-09-29,6250.0,68.0,0.0,2026-07-15 18:28:59,2026-07-15 18:28:59
8,10,1,5,2025-07-29,7529.09,89.28,0.0,2026-07-15 18:28:59,2026-07-15 18:28:59
9,12,4,4,2024-10-13,1005.43,14.86,0.0,2026-07-15 18:28:59,2026-07-15 18:28:59
10,14,1,6,2024-12-20,929.19,7.37,0.0,2026-07-15 18:28:59,2026-07-15 18:28:59
11,16,1,3,2024-12-07,2077.63,26.66,0.0,2026-07-15 18:28:59,2026-07-15 18:28:59
12,17,5,7,2025-02-20,30988.87,0.0,77.67,2026-07-15 18:28:59,2026-07-15 18:28:59
13,18,4,2,2024-11-12,712.43,0.0,0.0,2026-07-15 18:28:59,2026-07-15 18:28:59
14,19,1,7,2024-12-31,2015.69,10.03,0.0,2026-07-15 18:28:59,2026-07-15 18:28:59
15,21,7,5,2025-10-20,4820.08,4.82,0.0,2026-07-15 18:28:59,2026-07-15 18:28:59
16,23,1,4,2025-01-23,13156.14,65.45,0.0,2026-07-15 18:28:59,2026-07-15 18:28:59
17,24,1,6,2025-09-11,429.67,2.99,0.0,2026-07-15 18:28:59,2026-07-15 18:28:59
18,29,2,8,2024-11-26,406.71,2.43,0.0,2026-07-15 18:28:59,2026-07-15 18:28:59
19,30,4,10,2025-11-19,666.65,0.0,1.34,2026-07-15 18:28:59,2026-07-15 18:28:59
